leixing,Mass,RT,SXT-col-12h+13c6-phe-1,SXT-col-12h+13c6-phe-2,SXT-col-12h+13c6-phe-3,SXT-col-ck-1,SXT-col-ck-2,SXT-col-ck-3
1.0,332.1208,3.35,14336066.56,15006386.86,15899140.77,1.0,1.0,1.0
0.0,326.0999,3.35,1421810.634,1551017.328,1659991.197,1191385.177,1427394.785,1353163.023
1.0,600.1779,4.3,1208699.474,1287256.988,1189823.721,1.0,1.0,1.0
0.0,594.159,4.31,16929921.68,17184248.99,16653306.76,21666144.4,19760046.61,20671675.96
1.0,152.0568,3.35,2751015.361,2892284.537,3022856.292,1.0,1.0,1.0
0.0,146.037,3.35,263172.7747,315391.7626,341312.9777,242133.6729,284269.4381,262526.9115
1.0,213.1095,4.65,601466.5578,813254.2249,604388.2614,1.0,1.0,1.0
0.0,207.0892,4.65,170918.2563,206484.9263,157258.308,243139.2335,263182.2686,248420.9532
1.0,424.1673,3.17,534968.311,620363.2175,624099.6657,1.0,1.0,1122.400648
0.0,418.1481,3.17,4899497.748,5330841.376,5652415.345,7959085.343,6783957.124,7356838.716
1.0,471.1323,6.24,501760.1141,513042.7611,582146.1107,1.0,1.0,1.0
0.0,465.1122,6.24,434281.2792,438108.7781,434749.6961,423886.7295,385758.3361,414546.1924
1.0,378.1258,2.59,807645.7991,893876.9779,859152.245,1.0,1.0,1.0
0.0,372.1053,2.59,127038.6552,139638.3246,162170.0106,106573.2894,102468.598,137714.5148
1.0,170.0673,2.59,835688.3748,847650.9671,1036178.147,1.0,1.0,1.0
0.0,164.0476,2.59,132789.4908,140625.3108,166864.6044,81279.30049,90629.82004,95811.66835
1.0,154.0728,2.04,1679367.288,1913519.754,1839615.964,1.0,1.0,1.0
0.0,148.0528,2.05,72156.46983,71611.60597,77354.15921,61602.72729,42911.15252,51142.49182
1.0,124.0618,3.34,867766.0409,913227.0875,970321.3401,1.0,1.0,1.0
0.0,118.042,3.35,97353.96401,97059.56999,104684.1817,88379.59043,100922.5619,93188.25346
1.0,470.1145,4.79,321110.3106,344339.7652,333564.2685,1.0,1.0,1.0
0.0,464.0938,4.79,58718.49126,100311.7399,102731.654,141791.9379,115674.7666,126548.2002
1.0,762.2306,3.4,293367.1013,286233.559,326701.7709,1.0,1.0,1.0
0.0,756.2119,3.4,2693454.09,3389592.71,3793376.478,5589183.424,5343724.94,5454005.48
1.0,332.1205,2.59,289999.4542,406937.4103,430321.1708,1.0,1.0,1.0
0.0,326.1003,2.59,205383.9185,259047.0568,223487.0641,250248.3772,257311.4728,263814.3768
1.0,732.2346,5.83,28306.5692,27463.41926,36543.58984,1.0,1.0,1.0
0.0,726.2155,5.83,1074388.716,1349919.827,1200632.268,1385365.702,1476388.342,1392953.658
1.0,558.2033,6.79,113605.0015,98811.26244,103663.1291,3128.149725,5146.630114,3700.153299
0.0,552.184,6.79,4194222.048,4201036.357,3184911.442,3805372.113,3415913.874,4286175.245
1.0,400.1078,2.59,424639.3212,484108.2524,514296.1212,1.0,1.0,13175.73107
0.0,394.0876,2.59,108632.9772,111072.8393,131879.0699,109251.7595,115172.3478,121660.9951
1.0,384.1282,2.93,283324.997,294280.3006,264210.7319,1.0,3928.104133,1.0
0.0,378.1081,2.93,1098703.777,1205619.307,1309999.608,1678487.787,1712960.983,1683445.225
1.0,454.1197,5.25,155849.1859,244546.6138,244289.5483,1.0,1.0,1.0
0.0,448.0994,5.25,104482.7831,96198.20404,106727.8605,52247.36969,90294.4878,87709.74079
1.0,485.1478,7.1,250249.1774,238219.1392,242820.6221,1.0,1.0,1.0
0.0,479.1274,7.1,258468.9806,198978.286,239769.7759,228370.1749,181275.5302,194109.8336
1.0,616.1729,3.44,183877.11,235493.744,210587.2157,1.0,1.0,1.0
0.0,610.1532,3.44,501742.8856,551066.881,600723.7909,740749.3628,664872.7315,659208.8271
1.0,279.0803,4.65,164104.8833,232444.2426,197698.2434,1.0,1.0,1.0
0.0,273.0609,4.65,42110.62674,38992.60852,37738.66686,58880.14949,62851.33275,56989.46676
1.0,600.1772,5.02,157772.6517,189536.0685,165347.0391,1.0,1.0,1.0
0.0,594.1568,5.02,151016.243,198017.46,234016.4429,188799.2138,254687.6979,275355.7145
1.0,348.1149,3.06,142425.1962,154561.9712,154354.7598,1.0,1.0,1.0
0.0,342.0947,3.05,470955.8997,390857.6901,508320.7734,551974.3938,535688.3054,520675.2221
1.0,528.2296,4.8,255302.5113,246248.9304,270283.9196,1.0,1.0,1.0
0.0,522.2095,4.8,1295125.022,1267243.147,1525940.333,1747686.06,2024838.664,1933634.689
1.0,306.1047,1.77,113624.3943,129345.0682,100262.2875,1.0,1.0,1.0
0.0,300.0843,1.76,264673.9188,389779.864,356855.8914,451836.4458,462371.1629,479805.258
1.0,144.052,1.77,134573.1158,182364.1852,145608.8899,1.0,1.0,1.0
0.0,138.0318,1.77,381370.9439,459783.3994,440430.8294,529253.9495,551249.1654,540050.7782
1.0,408.1361,2.9,69469.02916,84524.04609,95000.54706,1.0,1.0,2364.089127
0.0,402.1158,2.9,342963.8704,339600.6603,335623.4168,533513.7493,507276.1319,524992.3274
1.0,454.1193,5.98,113235.0895,202737.2756,238195.465,1.0,1.0,1.0
0.0,448.0997,5.98,593727.0132,1408712.117,1618697.959,2007191.915,1637655.474,1826147.438
1.0,171.0988,4.65,94746.07597,126995.8182,97494.34195,1.0,1.0,1.0
0.0,165.0786,4.65,30108.17428,37169.38832,26697.92048,41778.26347,42478.76853,43697.11476
1.0,684.1598,3.99,142400.6258,143747.7043,152564.0697,1.0,1.0,1.0
0.0,678.1397,3.99,1869724.359,1862734.94,2005482.898,719696.5808,1850596.953,607032.3603
1.0,200.0781,2.91,60930.08892,63501.71775,60566.72558,1.0,1.0,1.0
0.0,194.0578,2.9,246201.2317,310521.4196,344082.8977,477502.0584,462115.3382,468847.1159
1.0,186.0988,2.94,137282.2368,145276.3496,130507.8824,1.0,1.0,1.0
0.0,180.0787,2.94,564687.4528,649085.0606,706876.5772,1015803.27,1000478.111,997211.0345
1.0,539.1199,6.24,125629.0769,120356.0086,139973.8865,1.0,1.0,1.0
0.0,533.0998,6.24,110657.0849,104170.0776,99285.0992,113396.0819,101536.2444,103029.3207
1.0,478.2139,5.64,60525.89395,85452.06703,73504.22196,1.0,1.0,1.0
0.0,472.1941,5.65,354954.6477,364952.5982,333189.8308,324168.9633,279035.7739,305583.6196
1.0,558.2038,3.86,209025.2454,216949.5477,243388.025,1.0,1.0,1.0
0.0,552.1838,3.86,1989680.879,1746412.366,1745651.541,2183950.464,2605909.967,2411365.017
1.0,558.2033,7.05,30844.17851,20303.67561,33468.59208,1.0,1.0,1.0
0.0,552.1833,7.08,915475.5667,889668.5106,995965.9064,958613.5851,1383929.931,1201380.31
1.0,558.2033,7.05,30844.17851,20303.67561,33468.59208,1.0,1.0,1.0
0.0,552.1832,7.04,738334.5011,936444.0368,814709.5468,767476.2714,1039184.799,907311.9363
1.0,170.0673,3.35,272554.1535,275501.4766,288575.3747,1.0,1.0,1.0
0.0,164.0479,3.35,21909.66961,10002.52177,34429.08132,46678.02908,40180.79416,41508.78225
1.0,579.1891,2.38,124351.0317,142803.7064,135816.4829,1.0,1764.035186,1.0
0.0,573.1691,2.39,160750.5598,179079.2131,177410.0752,197203.6497,205996.9924,209252.6191
1.0,540.1785,2.09,69187.5486,66299.07232,64392.62145,1.0,1.0,1.0
0.0,534.1583,2.1,32661.91342,48413.57972,50713.08345,43784.34968,50499.23095,77737.47972
1.0,430.1179,2.91,53860.08881,51771.68963,53087.27073,8425.613769,1.0,1.0
0.0,424.0974,2.91,241107.0588,280106.6065,303464.5558,411926.1629,401943.9187,420802.5107
1.0,502.2228,5.04,149071.6027,143995.3451,165931.4768,1.0,1.0,1.0
0.0,496.2026,5.04,72413.18752,65338.7522,85097.55501,59668.40313,42260.15234,53264.99854
1.0,334.1357,3.02,119594.2742,147875.1806,157285.4195,1.0,1.0,1.0
0.0,328.1154,3.01,173495.0492,191241.5572,181066.8161,221023.0105,210869.3662,231363.4222
1.0,510.1677,2.55,19834.15246,31888.15661,33569.16341,1.0,1.0,1.0
0.0,504.1479,2.55,48681.96316,80256.68769,90003.14199,109082.5058,101904.9217,101931.3132
1.0,411.1468,2.92,82701.7804,83580.49398,30944.77161,1.0,1.0,1.0
0.0,405.1268,2.92,289463.8397,363859.6813,391147.2117,522870.892,531698.7622,537938.7832
1.0,235.091,4.65,94426.5872,116320.88,91330.06534,1.0,1.0,1.0
0.0,229.0711,4.65,33425.91573,36365.38192,31475.08343,52058.69833,56078.92767,49815.51215
1.0,386.1248,2.92,77776.73076,28700.59538,72537.03148,1.0,1.0,1.0
0.0,380.1053,2.91,394994.1468,429177.7481,474918.2652,579369.2338,610720.3397,592048.8666
1.0,552.2408,2.88,41972.6238,58301.76606,41895.22282,1.0,1.0,1.0
0.0,546.2212,2.87,252719.7793,316163.7866,327364.6525,279663.9933,248639.9197,257574.6466
1.0,668.1649,4.34,81328.0937,82830.55483,16464.4778,1.0,1.0,1.0
0.0,662.1449,4.34,921423.2946,951492.0599,757631.0048,1236564.032,1175718.232,1147702.839
1.0,144.0519,3.02,62370.37202,86657.32433,73810.77374,1.0,1.0,1.0
0.0,138.0317,3.06,261904.1346,472922.8747,183355.5245,400647.7439,513937.9577,491346.3501
1.0,374.092,1.76,49012.08277,53419.20603,57464.44688,1.0,1.0,1.0
0.0,368.0717,1.76,114607.6509,104669.8191,123289.1743,179105.2254,79661.07727,205492.1091
1.0,782.271,5.6,20227.6974,1900.019619,8145.457038,1.0,1.0,1.0
0.0,776.2515,5.6,408365.0373,686841.3072,488596.8162,488531.0927,654466.7182,422320.9007
1.0,864.2763,5.23,55361.37339,59535.98045,41771.32484,1.0,1.0,1.0
0.0,858.2572,5.23,1805995.878,2192975.458,2073826.991,2306180.778,2225511.013,2263377.138
1.0,553.1353,7.1,72537.06932,63294.35049,66050.27158,1.0,7824.546987,6253.225536
0.0,547.1148,7.1,55834.35493,35207.65513,37335.86087,34021.68602,30771.33504,31597.01267
1.0,534.213,3.78,104554.8432,51430.98483,61587.13537,1.0,2155.101449,1.0
0.0,528.1926,3.74,293569.1695,171792.2525,182212.268,216803.2875,159299.9886,181124.3788
1.0,542.2083,4.97,96762.01048,90893.96265,118327.8455,5458.460836,1.0,2071.152681
0.0,536.1883,4.97,178821.8749,208013.7133,239397.6096,214433.1589,282721.7817,228537.7575
1.0,666.148,4.12,81186.76929,68110.48992,57513.40834,1.0,1.0,7729.911637
0.0,660.128,4.12,605110.625,775495.4573,746478.7388,756739.9006,792615.0317,732679.607
1.0,352.1104,1.77,36850.62009,50192.56354,37272.95975,1.0,1.0,1.0
0.0,346.0899,1.77,74575.95988,66733.43504,60923.65195,90227.36155,98260.63834,69680.70052
1.0,524.219,5.64,32647.36511,41123.88441,22358.19068,1.0,1.0,1.0
0.0,518.1988,5.64,158778.0593,167690.7711,141941.4127,139687.2957,129410.0191,131940.3783
1.0,830.2176,3.4,38575.5576,74361.49041,73503.58741,7079.617547,1.0,7576.393705
0.0,824.1975,3.4,508589.481,600566.0697,643791.2803,947816.1302,987758.968,1004159.612
1.0,168.0518,2.77,41208.14573,51419.60101,57054.99984,1.0,1.0,1.0
0.0,162.0316,2.77,24842.22044,21588.24777,34956.8459,29926.07488,67696.77951,54263.89813
1.0,528.1924,6.72,30007.439,8263.809547,18715.66532,1.0,1.0,1040.69575
0.0,522.1728,6.72,215653.7911,243949.994,242167.5775,256291.2133,296041.6226,247303.9415
1.0,607.1069,6.24,61028.13475,46290.77623,63463.15161,1.0,1.0,1.0
0.0,601.0873,6.24,26842.08989,30586.94479,33364.43945,27085.75848,31590.21749,28974.29244
1.0,864.2757,5.34,1.0,1.0,26978.28403,1.0,1.0,1.0
0.0,858.2562,5.33,802034.4203,1018918.238,942946.9709,1003022.236,1123910.775,1067137.652
1.0,814.2224,4.26,57099.75743,57611.51105,60650.14897,1.0,1.0,1.0
0.0,808.2024,4.26,360089.2397,407366.7667,439548.3175,514627.5758,484340.1255,477752.095
1.0,336.1664,4.8,37417.48958,40631.04715,49395.76868,1.0,1.0,1.0
0.0,330.1459,4.8,247938.3357,250121.4525,285026.2508,341431.2767,383661.7811,372250.7338
1.0,1040.2728,4.28,12575.54895,16315.8792,8353.840234,1618.045278,1.0,1.0
0.0,1034.2526,4.28,71232.49491,75053.14154,55046.33894,80427.51725,109097.7641,113323.0119
1.0,638.1926,5.27,72067.25555,84132.74356,90625.24769,1.0,1.0,297.5698168
0.0,632.1722,5.26,227564.8186,278782.3045,310760.034,234498.6092,287575.3351,273967.4056
1.0,227.1249,5.79,16737.73466,16595.96116,18146.49729,1.0,1.0,1.0
0.0,221.1049,5.78,19737.94117,20982.65405,21407.26611,29354.70685,24361.32954,25813.45725
1.0,348.1508,4.88,23597.07406,38954.91331,37661.02588,1.0,1.0,1.0
0.0,342.1308,4.88,25619.41923,33088.14187,22404.5515,28775.11747,24579.82441,23223.29517
1.0,668.1651,4.29,57263.71218,50406.23933,62413.96145,1.0,1.0,1.0
0.0,662.1465,4.29,756494.7554,680982.3662,774040.5926,636476.7266,664766.0651,703936.5818
1.0,414.1383,3.16,33989.18637,38879.38691,38037.77925,1.0,1.0,1.0
0.0,408.1181,3.17,338922.0668,351563.3729,381792.7057,484169.4608,398123.0648,409036.3272
1.0,646.183,3.54,48736.72351,49742.09171,53575.2719,10464.34274,1.0,1.0
0.0,640.1627,3.54,134163.5321,155305.8151,165043.583,202884.6094,184934.4461,193131.9695
1.0,1066.2467,4.46,111616.4832,115411.9224,128746.823,1.0,1.0,1.0
0.0,1060.228,4.46,1796269.921,1880001.955,1887711.161,1788689.648,2119885.811,1975524.728
1.0,684.1598,3.44,51517.67539,53570.75813,49522.46993,1.0,1.0,1.0
0.0,678.1394,3.44,98186.65493,115871.1462,106262.721,159418.9278,133465.1221,164619.9184
1.0,907.1964,3.05,54003.4496,64856.90931,76105.22314,1.0,1.0,1.0
0.0,901.1767,3.06,177916.4167,208469.4075,197342.7671,232957.6449,173461.0608,211693.9562
1.0,518.2176,4.86,47130.61568,41278.14034,56383.56003,1.0,1.0,887.0472859
0.0,512.1983,4.85,24299.56026,21542.85288,27403.8545,19039.00307,14406.11409,22410.67875
1.0,526.2134,5.33,51307.14696,18601.87289,64996.45855,1379.584949,1288.779539,967.6808103
0.0,520.1937,5.34,396756.7202,426501.4008,185322.6447,388659.6876,483701.6426,369417.3631
1.0,526.2134,5.33,51307.14696,18601.87289,64996.45855,1379.584949,1288.779539,967.6808103
0.0,520.1932,5.33,409686.9433,408708.403,471967.4129,389360.5519,457584.1573,356390.4697
1.0,572.2193,5.34,40033.57241,32255.52069,31155.67071,1.0,1.0,1.0
0.0,566.1991,5.34,485600.117,569552.6853,220393.033,512441.3823,615193.9687,386391.9319
1.0,572.2193,5.34,40033.57241,32255.52069,31155.67071,1.0,1.0,1.0
0.0,566.1993,5.34,483080.6869,581512.2328,145666.1241,427328.9988,613878.0866,510939.6167
1.0,460.128,4.67,37047.10468,36545.06433,34006.18143,1.0,1.0,1.0
0.0,454.1072,4.67,83315.96688,68281.06377,55939.4319,97190.30594,1.0,77458.35127
1.0,438.1255,5.88,28619.10868,35453.66802,37257.71645,1.0,1.0,1.0
0.0,432.105,5.88,46972.20039,65682.60887,61150.18742,61749.50152,68979.56864,68207.76358
1.0,528.1929,7.09,5234.752996,5819.994042,10287.70337,1.0,1.0,1.0
0.0,522.1729,7.09,188317.1117,186673.2385,193916.8645,220931.1252,261588.8865,240415.8401
1.0,573.1991,2.53,19609.55067,46568.6873,21899.62246,1.0,1.0,1.0
